num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;    231; 18.6632;  100.00;  100.00;  1.48e-06;
         1;  0.0000;   3;    611; 63.9480;  100.00;  100.00;  3.56e-07;
         1;  0.0000;   7; 100100; 22.4184;  100.00;  100.00;  8.80e-05;
         1;  0.0100;   1;     36;  3.9135;  99.89;  99.90;  2.16e-02;
         1;  0.0100;   3;     50;  6.0565;  99.89;  99.90;  2.16e-02;
         1;  0.0100;   7;   2000;  0.4710;  99.88;  99.90;  2.16e-02;
         1;  0.1000;   1;     15;  2.1108;  98.27;  98.20;  7.17e-02;
         1;  0.1000;   3;     15;  2.4914;  98.27;  98.20;  7.17e-02;
         1;  0.1000;   7;   1500;  0.3664;  97.56;  97.45;  7.19e-02;
         2;  0.0000;   1;   1000; 78.3354;  99.74;  99.30;  2.36e-03;
         2;  0.0000;   3;   1000; 91.3545;  99.49;  99.30;  4.77e-03;
         2;  0.0000;   7;   6800;  1.5373;  99.71;  99.35;  2.84e-03;
         2;  0.0100;   1;     73;  6.9489;  99.06;  99.00;  3.97e-02;
         2;  0.0100;   3;     46;  5.8175;  99.06;  99.00;  3.97e-02;
         2;  0.0100;   7;   1900;  0.4379;  99.14;  99.05;  3.98e-02;
         2;  0.1000;   1;     21;  2.7066;  90.33;  90.35;  9.52e-02;
         2;  0.1000;   3;     18;  2.7410;  90.33;  90.35;  9.52e-02;
         2;  0.1000;   7;   2100;  0.4847;  90.33;  90.35;  9.52e-02;
         3;  0.0000;   1;   1000; 75.8247;  99.33;  99.05;  5.49e-03;
         3;  0.0000;   3;   1000; 96.0099;  99.26;  99.05;  5.92e-03;
         3;  0.0000;   7;   4700;  1.0218;  99.30;  99.20;  5.98e-03;
         3;  0.0100;   1;    105;  8.9724;  97.97;  97.85;  5.14e-02;
         3;  0.0100;   3;     49;  5.8300;  97.97;  97.85;  5.14e-02;
         3;  0.0100;   7;   1200;  0.2508;  98.05;  98.00;  5.14e-02;
         3;  0.1000;   1;     28;  3.1712;  89.91;  89.85;  1.06e-01;
         3;  0.1000;   3;     16;  2.4974;  89.91;  89.85;  1.06e-01;
         3;  0.1000;   7;   2200;  0.4745;  89.91;  89.85;  1.07e-01;
         4;  0.0000;   1;    300; 23.1837;  100.00;  99.90;  1.52e-06;
         4;  0.0000;   3;   1000; 87.9263;  100.00;  99.95;  3.90e-05;
         4;  0.0000;   7; 100100; 21.8282;  100.00;  99.95;  9.30e-05;
         4;  0.0100;   1;     41;  4.1673;  99.92;  99.85;  2.22e-02;
         4;  0.0100;   3;     38;  4.8437;  99.92;  99.85;  2.22e-02;
         4;  0.0100;   7;   1400;  0.3343;  99.92;  99.85;  2.22e-02;
         4;  0.1000;   1;     20;  2.4403;  98.75;  98.75;  7.48e-02;
         4;  0.1000;   3;     16;  2.5360;  98.75;  98.75;  7.48e-02;
         4;  0.1000;   7;   2300;  0.5245;  98.77;  98.80;  7.48e-02;
         5;  0.0000;   1;   1000; 75.5478;  99.99;  99.85;  2.47e-04;
         5;  0.0000;   3;   1000; 85.9363;  99.86;  99.90;  1.29e-03;
         5;  0.0000;   7;   6900;  1.4816;  99.93;  99.95;  7.03e-04;
         5;  0.0100;   1;     48;  4.7071;  99.73;  99.85;  2.99e-02;
         5;  0.0100;   3;     39;  4.7897;  99.73;  99.85;  2.99e-02;
         5;  0.0100;   7;   2000;  0.4318;  99.67;  99.85;  2.99e-02;
         5;  0.1000;   1;     23;  2.8657;  95.23;  95.80;  9.02e-02;
         5;  0.1000;   3;     18;  2.7702;  95.23;  95.80;  9.02e-02;
         5;  0.1000;   7;   3200;  0.7289;  94.23;  94.55;  9.03e-02;
         6;  0.0000;   1;   1000; 76.2490;  99.91;  99.80;  1.04e-03;
         6;  0.0000;   3;   1000; 99.6244;  99.87;  99.90;  1.17e-03;
         6;  0.0000;   7;   8700;  1.9056;  99.85;  99.90;  1.41e-03;
         6;  0.0100;   1;     91;  8.0434;  99.35;  99.25;  3.65e-02;
         6;  0.0100;   3;     51;  6.1241;  99.35;  99.25;  3.65e-02;
         6;  0.0100;   7;   1400;  0.3277;  99.41;  99.40;  3.65e-02;
         6;  0.1000;   1;     32;  3.5788;  89.89;  88.75;  9.75e-02;
         6;  0.1000;   3;     17;  2.6353;  89.89;  88.75;  9.75e-02;
         6;  0.1000;   7;   1400;  0.3019;  90.25;  88.90;  9.77e-02;
         7;  0.0000;   1;   1000; 75.7959;  100.00;  99.80;  6.42e-05;
         7;  0.0000;   3;    302; 30.7608;  99.92;  100.00;  7.50e-04;
         7;  0.0000;   7;  14700;  3.2506;  99.99;  99.95;  3.68e-04;
         7;  0.0100;   1;     43;  4.2965;  99.83;  99.85;  2.49e-02;
         7;  0.0100;   3;     40;  4.9890;  99.83;  99.85;  2.49e-02;
         7;  0.0100;   7;   2200;  0.5105;  99.83;  99.90;  2.49e-02;
         7;  0.1000;   1;     17;  2.3293;  97.38;  96.90;  7.58e-02;
         7;  0.1000;   3;     16;  2.5989;  97.38;  96.90;  7.58e-02;
         7;  0.1000;   7;   2100;  0.4537;  97.39;  96.95;  7.59e-02;
         8;  0.0000;   1;   1000; 76.1240;  98.45;  98.90;  1.20e-02;
         8;  0.0000;   3;   1000; 84.8055;  90.36;  90.80;  8.69e-02;
         8;  0.0000;   7;   7600;  1.6613;  98.42;  98.80;  1.21e-02;
         8;  0.0100;   1;    146; 12.2358;  97.02;  96.95;  6.15e-02;
         8;  0.0100;   3;     48;  5.8990;  97.02;  96.95;  6.15e-02;
         8;  0.0100;   7;   2400;  0.5273;  96.93;  96.80;  6.15e-02;
         8;  0.1000;   1;     21;  2.6316;  90.36;  90.80;  1.11e-01;
         8;  0.1000;   3;     17;  2.5903;  90.36;  90.80;  1.11e-01;
         8;  0.1000;   7;   2400;  0.5316;  90.36;  90.80;  1.11e-01;
         9;  0.0000;   1;   1000; 75.4119;  99.28;  99.60;  6.02e-03;
         9;  0.0000;   3;   1000; 85.0929;  89.96;  90.10;  5.24e-02;
         9;  0.0000;   7;   7400;  1.6820;  99.27;  99.65;  6.22e-03;
         9;  0.0100;   1;    110;  9.6805;  98.31;  98.75;  4.99e-02;
         9;  0.0100;   3;     44;  5.4699;  98.31;  98.75;  4.99e-02;
         9;  0.0100;   7;   2200;  0.5214;  98.30;  98.75;  4.99e-02;
         9;  0.1000;   1;     22;  2.7295;  89.78;  89.90;  1.09e-01;
         9;  0.1000;   3;     18;  2.7906;  89.78;  89.90;  1.09e-01;
         9;  0.1000;   7;   3200;  0.7522;  89.78;  89.90;  1.09e-01;
         0;  0.0000;   1;   1000; 76.5720;  99.66;  99.55;  2.94e-03;
         0;  0.0000;   3;   1000; 92.2716;  98.75;  99.00;  1.95e-02;
         0;  0.0000;   7;  13000;  2.9480;  99.62;  99.65;  3.22e-03;
         0;  0.0100;   1;     98;  8.5836;  98.93;  99.05;  4.17e-02;
         0;  0.0100;   3;     50;  6.1034;  98.93;  99.05;  4.17e-02;
         0;  0.0100;   7;   1600;  0.3811;  99.02;  99.10;  4.17e-02;
         0;  0.1000;   1;     27;  3.3387;  90.42;  90.35;  1.01e-01;
         0;  0.1000;   3;     17;  2.7024;  90.42;  90.35;  1.01e-01;
         0;  0.1000;   7;   1200;  0.2837;  90.42;  90.35;  1.01e-01;
